elapsedTime,Systemzeit,PosX,PosY,PosZ,NcBlock,Programmname,Werkzeugname,Programmstatus,Betriebsart,DrivePower,DrivePowerX,DrivePowerY,DrivePowerZ,DrivePowerA,DrivePowerC,DrivePowerSpindle,VorschubX,VorschubY,VorschubZ,Spindeldrehzahl,BeschleunigungX,BeschleunigungY,BeschleunigungZ,Spindelbeschleunigung,Hauptversorgung,24V-Versorgung,Antriebe,Bandfilteranlage,Hebepumpe,Kühlung,KühlungSchaltschrank,Späneförderer,NebelRauchabscheider,AirPower_Hauptversorgung,AirPower_Blum,AirPower_Hauptventilblock,AirPower_BlasluftKegelreinigung,AirPower_KlemmungTisch,AirPower_NPS,AirPower_Werkzeugkühlung,AirPower_ÖlLuftschmierungSpindel,AirPower_Sperrluft,AirPower_BlasluftSpindelMitte,TemperaturAußen,TemperaturArbeitsraum,Signallampe_rot,Signallampe_grün,Signallampe_blau,Signallampe_gelb,Späneförderer_vorwärts,Späneförderer_rückwärts,Späneförderer_Pumpe,Hebepumpe_aktiv,Nebelabscheider,Spülpistole,Schaltschrank_Temperatur,Tür_gesperrt
6.573,undefined,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1982.88,414.17,806.62,0,0,1250.49,62.6,0,0,2640.3,54.6,2652,0,0,0,0,795.6,1401.43,0,26.2,26.4,false,true,undefined,false,false,false,false,undefined,false,false,true,true
6.68,undefined,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1982.88,414.17,806.62,0,0,1250.49,62.6,0,0,2637.73,54.6,2644.2,0,0,0,0,795.6,1401.43,0,26.2,26.4,false,true,undefined,false,false,false,false,undefined,false,false,true,true
6.786,undefined,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1983.74,414.99,799.72,0,0,1250.96,62.61,0,0,2635.07,54.6,2648.1,0,0,0,0,796.93,1401.43,0,26.2,26.4,false,true,undefined,false,false,false,false,undefined,false,false,true,true
6.918,undefined,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1983.74,414.99,799.72,0,0,1250.96,62.61,0,0,2635.07,54.6,2648.1,0,0,0,0,796.93,1401.43,0,26.2,26.4,false,true,undefined,false,false,false,false,undefined,false,false,true,true
7.026,undefined,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1983.74,414.99,799.72,0,0,1250.96,62.61,0,0,2635.07,54.6,2657.23,0,0,0,0,795.6,1401.43,0,26.2,26.4,false,true,undefined,false,false,false,false,undefined,false,false,true,true
7.148,undefined,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1983.74,414.99,799.72,0,0,1250.96,62.61,0,0,2641.63,54.6,2655.9,0,0,0,0,794.27,1401.43,0,26.2,26.4,false,true,undefined,false,false,false,false,undefined,false,false,true,true
7.277,undefined,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1981.52,417.4,784.61,0,0,1247.75,62.56,0,0,2645.53,54.6,2655.9,0,0,0,0,795.6,1401.43,0,26.2,26.4,false,true,undefined,false,false,false,false,undefined,false,false,true,true
7.393,undefined,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1981.52,417.4,784.61,0,0,1247.75,62.56,0,0,2646.77,54.6,2658.47,0,0,0,0,795.6,1401.43,0,26.2,26.4,false,true,undefined,false,false,false,false,undefined,false,false,true,true
7.5,undefined,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1981.52,417.4,784.61,0,0,1247.75,62.56,0,0,2641.63,54.6,2658.47,0,0,0,0,795.6,1401.43,0,26.2,26.4,false,true,undefined,false,false,false,false,undefined,false,false,true,true
7.626,undefined,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1981.52,415.42,784.61,0,0,1247.75,62.56,0,0,2641.63,54.6,2658.47,0,0,0,0,795.6,1401.43,0,26.2,26.4,false,true,undefined,false,false,false,false,undefined,false,false,true,true
7.741,undefined,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1979.36,415.42,752.14,0,0,1244.87,62.56,0,0,2641.63,54.6,2658.47,0,0,0,0,795.6,1400.1,0,26.2,26.4,false,true,undefined,false,false,false,false,undefined,false,false,true,true
7.851,undefined,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1979.36,415.42,752.14,0,0,1244.87,62.56,0,0,2641.63,54.6,2658.47,0,0,0,0,795.6,1398.77,0,26.2,26.4,false,true,undefined,false,false,false,false,undefined,false,false,true,true
7.974,undefined,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1979.36,415.42,752.14,0,0,1244.87,62.56,0,0,2641.63,54.6,2658.47,0,0,0,0,795.6,1398.77,0,26.2,26.4,false,true,undefined,false,false,false,false,undefined,false,false,true,true
8.087,undefined,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1979.36,415.42,752.14,0,0,1244.87,62.56,0,0,2641.63,54.6,2658.47,0,0,0,0,795.6,1398.77,0,26.2,26.4,false,true,undefined,false,false,false,false,undefined,false,false,true,true
8.19,undefined,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1982.37,415.21,752.13,0,0,1246.19,62.64,0,0,2641.63,54.6,2658.47,0,0,0,0,795.6,1401.43,0,26.2,26.4,false,true,undefined,false,false,false,false,undefined,false,false,true,true
